id,name,record_wins,record_losses,record_draws,division,fighter_url,scraped_at
20,"CHARLES OLIVEIRA",0,0,0,"Lightweight Division
",,2025-07-11T23:59:02.000724
21,"ZHANG WEILI",0,0,0,"Women's Strawweight Division
",,2025-07-11T23:59:02.000730
22,"ARNOLD ALLEN",20,3,0,"Featherweight Division
20-3-0",,2025-07-11T23:59:02.000734
23,"MICHAEL CHANDLER",23,10,0,"Lightweight Division
23-10-0",,2025-07-11T23:59:02.000737
25,"BRANDON MORENO",23,8,2,"Flyweight Division
23-8-2",,2025-07-11T23:59:02.000743
28,"JÉSSICA ANDRADE",0,0,0,"Women's Strawweight Division
26-14-0",,2025-07-11T23:59:02.000752
29,"CORY SANDHAGEN",0,0,0,"Bantamweight Division
18-5-0",,2025-07-11T23:59:02.000755
30,"PAULO COSTA",0,0,0,"Middleweight Division
14-4-0",,2025-07-11T23:59:02.000758
31,"ERIN BLANCHFIELD",0,0,0,"Women's Flyweight Division
13-2-0",,2025-07-11T23:59:02.000762
32,"RIZVAN KUNIEV",0,0,0,"Heavyweight Division
12-3-1",,2025-07-11T23:59:02.000765
33,"DENISE GOMES",0,0,0,"Women's Strawweight Division
11-3-0",,2025-07-11T23:59:02.000767
35,"VIVIANE ARAÚJO",0,0,0,"Women's Flyweight Division
13-7-0",,2025-07-11T23:59:02.000773
57,"GILBERT BURNS",22,9,0,"Welterweight Division
22-9-0",,2025-07-12T02:38:17.250197
59,"JACQUELINE CAVALCANTI",9,1,0,"Women's Bantamweight Division
9-1-0",,2025-07-12T02:38:17.250541
61,"NIKITA KRYLOV",30,10,0,"Light Heavyweight Division
30-10-0",,2025-07-12T02:38:17.250549
63,"ALEXANDRE PANTOJA",30,5,0,"Flyweight Division
30-5-0",,2025-07-12T02:38:17.250556
68,"JARED CANNONIER",18,8,0,"Middleweight Division
18-8-0",,2025-07-12T02:38:17.250573
69,"JAILTON ALMEIDA",22,3,0,"Heavyweight Division
22-3-0",,2025-07-12T02:38:17.250576
71,"WALDO CORTES ACOSTA",14,1,0,"Heavyweight Division
14-1-0",,2025-07-12T02:38:17.250583
72,"MICHAEL MORALES",18,0,0,"Welterweight Division
18-0-0",,2025-07-12T02:38:17.250586
76,"MARTIN BUDAY",15,2,0,"Heavyweight Division
15-2-0",,2025-07-12T02:38:17.250599
98,"DAN IGE",19,9,0,"Featherweight Division
19-9-0",,2025-07-12T02:54:38.614597
100,"DIEGO LOPES",26,7,0,"Featherweight Division
26-7-0",,2025-07-12T02:54:38.614620
101,"BRENDAN ALLEN",24,7,0,"Middleweight Division
24-7-0",,2025-07-12T02:54:38.614625
102,"RENATO MOICANO",20,7,0,"Lightweight Division
20-7-1",,2025-07-12T02:54:38.614628
103,"DOMINICK REYES",15,4,0,"Light Heavyweight Division
15-4-0",,2025-07-12T02:54:38.614632
104,"GILLIAN ROBERTSON",16,8,0,"Women's Strawweight Division
16-8-0",,2025-07-12T02:54:38.614636
105,"CARLOS ULBERG",13,1,0,"Light Heavyweight Division
13-1-0",,2025-07-12T02:54:38.614652
106,"TOM ASPINALL",15,3,0,"Heavyweight Division
15-3-0",,2025-07-12T02:54:38.614659
107,"KEVIN HOLLAND",28,13,0,"Welterweight Division
28-13-0",,2025-07-12T02:54:38.614663
110,"GIGA CHIKADZE",15,5,0,"Featherweight Division
15-5-0",,2025-07-12T02:54:38.614703
111,"MONTEL JACKSON",16,2,0,"Bantamweight Division
16-2-0",,2025-07-12T02:54:38.614709
112,"MARCIN TYBURA",27,9,0,"Heavyweight Division
27-9-0",,2025-07-12T02:54:38.614713
113,"CALVIN KATTAR",23,9,0,"Featherweight Division
23-9-0",,2025-07-12T02:54:38.614717
114,"SHAVKAT RAKHMONOV",19,0,0,"Welterweight Division
19-0-0",,2025-07-12T02:54:38.614721
116,"ALEXANDER VOLKANOVSKI",27,4,0,"Featherweight Division
27-4-0",,2025-07-12T02:54:38.614728
135,"ALJAMAIN STERLING",24,5,0,"Featherweight Division
24-5-0",,2025-07-12T03:52:53.479898
136,"RAMAZAN TEMIROV",19,3,0,"Flyweight Division
19-3-0",,2025-07-12T03:52:53.480257
137,"KETLEN VIEIRA",15,4,0,"Women's Featherweight Division
15-4-0",,2025-07-12T03:52:53.480264
138,"JOAQUIN BUCKLEY",21,7,0,"Welterweight Division
21-7-0",,2025-07-12T03:52:53.480268
139,"JOSELYNE EDWARDS",15,6,0,"Women's Bantamweight Division
15-6-0",,2025-07-12T03:52:53.480272
140,"DARIA ZHELEZNIAKOVA",10,2,0,"Women's Bantamweight Division
10-2-0",,2025-07-12T03:52:53.480275
141,"WANG CONG",8,1,0,"Women's Flyweight Division
8-1-0",,2025-07-12T03:52:53.480279
144,"ISLAM MAKHACHEV",27,1,0,"Lightweight Division
27-1-0",,2025-07-12T03:52:53.480289
145,"DUSTIN POIRIER",30,9,0,"Lightweight Division
30-9-0",,2025-07-12T03:52:53.480292
146,"AMANDA LEMOS",15,4,0,"Women's Strawweight Division
15-4-1",,2025-07-12T03:52:53.480296
147,"CIRYL GANE",13,2,0,"Heavyweight Division
13-2-0",,2025-07-12T03:52:53.480299
151,"MIESHA TATE",20,10,0,"Women's Bantamweight Division
20-10-0",,2025-07-12T03:52:53.480312
152,"BENEIL DARIUSH",23,6,0,"Lightweight Division
23-6-1",,2025-07-12T03:52:53.480315
174,"MAYRA BUENO SILVA",10,5,0,"Women's Flyweight Division",,2025-07-12T18:13:23.350342
175,"TIM ELLIOTT",21,13,0,"Flyweight Division",,2025-07-12T18:13:23.350352
177,"SERGEI PAVLOVICH",19,3,0,"Heavyweight Division",,2025-07-12T18:13:23.350362
179,"STEPHEN THOMPSON",17,8,0,"Welterweight Division",,2025-07-12T18:13:23.350371
180,"KHALIL ROUNTREE JR.",15,6,0,"Light Heavyweight Division",,2025-07-12T18:13:23.350376
181,"DEIVESON FIGUEIREDO",24,5,0,"Bantamweight Division",,2025-07-12T18:13:23.350380
182,"VIRNA JANDIROBA",22,3,0,"Women's Strawweight Division",,2025-07-12T18:13:23.350384
183,"UMAR NURMAGOMEDOV",18,1,0,"Bantamweight Division",,2025-07-12T18:13:23.350389
184,"DERRICK LEWIS",28,12,0,"Heavyweight Division",,2025-07-12T18:13:23.350394
185,"REINIER DE RIDDER",20,2,0,"Middleweight Division",,2025-07-12T18:13:23.350399
187,"YAN XIAONAN",19,5,0,"Women's Strawweight Division",,2025-07-12T18:13:23.350408
188,"ABUS MAGOMEDOV",28,6,0,"Middleweight Division",,2025-07-12T18:13:23.350412
189,"VALENTINA SHEVCHENKO",25,4,0,"Women's Flyweight Division",,2025-07-12T18:13:23.350416
191,"MIRANDA MAVERICK",17,6,0,"Women's Flyweight Division",,2025-07-12T18:13:23.350425
192,"TAGIR ULANBEKOV",17,2,0,"Flyweight Division",,2025-07-12T18:13:23.350428
209,"JULIANNA PEÑA",13,6,0,"Women's Bantamweight Division",,2025-07-12T20:09:44.037552
210,"CARLOS PRATES",21,7,0,"Welterweight Division",,2025-07-12T20:09:44.038124
212,"MOVSAR EVLOEV",19,0,0,"Featherweight Division",,2025-07-12T20:09:44.038228
213,"VINICIUS OLIVEIRA",22,3,0,"Bantamweight Division",,2025-07-12T20:09:44.038235
214,"MANON FIOROT",12,2,0,"Women's Flyweight Division",,2025-07-12T20:09:44.038240
215,"ZHANG MINGYANG",19,6,0,"Light Heavyweight Division",,2025-07-12T20:09:44.038246
216,"RAFAEL FIZIEV",13,4,0,"Lightweight Division",,2025-07-12T20:09:44.038251
217,"LERONE MURPHY",16,0,0,"Featherweight Division",,2025-07-12T20:09:44.038257
218,"JJ ALDRICH",14,7,0,"Women's Flyweight Division",,2025-07-12T20:09:44.038262
219,"MAYCEE BARBER",14,2,0,"Women's Flyweight Division",,2025-07-12T20:09:44.038268
220,"BRUNO SILVA",14,7,0,"Flyweight Division",,2025-07-12T20:09:44.038273
221,"PETR YAN",18,5,0,"Bantamweight Division",,2025-07-12T20:09:44.038278
222,"YAIR RODRIGUEZ",21,5,0,"Featherweight Division",,2025-07-12T20:09:44.038284
223,"JIŘÍ PROCHÁZKA",31,5,0,"Light Heavyweight Division",,2025-07-12T20:09:44.038289
224,"NORMA DUMONT",12,2,0,"Women's Bantamweight Division",,2025-07-12T20:09:44.038294
245,"SERGHEI SPIVAC",17,6,0,"Heavyweight Division",,2025-07-12T21:21:35.808672
246,"KYLER PHILLIPS",12,3,0,"Bantamweight Division",,2025-07-12T21:21:35.808979
247,"TAI TUIVASA",15,8,0,"Heavyweight Division",,2025-07-12T21:21:35.808987
248,"ANGELA HILL",18,14,0,"Women's Strawweight Division",,2025-07-12T21:21:35.808992
249,"ROMAN KOPYLOV",14,3,0,"Middleweight Division",,2025-07-12T21:21:35.808996
250,"MICK PARKIN",10,1,0,"Heavyweight Division",,2025-07-12T21:21:35.809001
251,"STEVE ERCEG",12,4,0,"Flyweight Division",,2025-07-12T21:21:35.809005
252,"MAGOMED ANKALAEV",21,1,0,"Light Heavyweight Division",,2025-07-12T21:21:35.809009
253,"ALONZO MENIFIELD",17,5,0,"Light Heavyweight Division",,2025-07-12T21:21:35.809014
254,"DAVID ONAMA",14,2,0,"Featherweight Division",,2025-07-12T21:21:35.809017
255,"BRIAN ORTEGA",16,4,0,"Featherweight Division",,2025-07-12T21:21:35.809021
256,"AZAMAT MURZAKANOV",15,0,0,"Light Heavyweight Division",,2025-07-12T21:21:35.809025
257,"ALEXANDER VOLKOV",38,11,0,"Heavyweight Division",,2025-07-12T21:21:35.809029
258,"MACKENZIE DERN",15,5,0,"Women's Strawweight Division",,2025-07-12T21:21:35.809033
259,"PADDY PIMBLETT",23,3,0,"Lightweight Division",,2025-07-12T21:21:35.809037
260,"ALEKSANDAR RAKIĆ",14,5,0,"Light Heavyweight Division",,2025-07-12T21:21:35.809042
261,"SHAMIL GAZIEV",14,1,0,"Heavyweight Division",,2025-07-12T21:21:35.809045
262,"KARINE SILVA",18,5,0,"Women's Flyweight Division",,2025-07-12T21:21:35.809050
263,"KAYLA HARRISON",19,1,0,"Women's Bantamweight Division",,2025-07-12T21:21:35.809054
264,"NASSOURDINE IMAVOV",16,4,0,"Middleweight Division",,2025-07-12T21:21:35.809057
